sentence_id,volume,group_start,text_raw,text_norm,avg_logprob,no_speech_prob,t_start,t_end,media_file,src_file,source,flags
14,1,1,"These chairs aren't beautiful, but they're comfortable.","These chairs aren't beautiful, but they're comfortable.",-0.2397,0.0039,168.840,171.645,transcript_media/en/ZS_F1_0014_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 02:48.84-02:51.64,
15,1,1,The weather is warm and sunny today.,The weather is warm and sunny today.,-0.2425,0.0145,183.338,186.367,transcript_media/en/ZS_F1_0015_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 03:03.34-03:06.37,
16,1,1,You're late.,You're late.,-0.2006,0.0368,197.202,200.539,transcript_media/en/ZS_F1_0016_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 03:17.20-03:20.54,
17,1,1,"你迟到了,我没有,我到得很早。","你迟到了,我没有,我到得很早。",-0.2739,0.0303,206.385,210.119,transcript_media/en/ZS_F1_0017_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 03:26.38-03:30.12,
18,1,1,"他不在家,他在上班。","他不在家,他在上班。",-0.2973,0.1382,220.845,223.900,transcript_media/en/ZS_F1_0018_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 03:40.85-03:43.90,
19,1,1,这是你的外套。,这是你的外套。,-0.3752,0.0083,232.774,234.488,transcript_media/en/ZS_F1_0019_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 03:52.77-03:54.49,
20,1,1,你叫什么名字?,你叫什么名字?,-0.1301,0.1125,242.220,243.863,transcript_media/en/ZS_F1_0020_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 04:02.22-04:03.86,
21,1,1,我叫艾伦。,我叫艾伦。,-0.4930,0.0563,252.109,253.545,transcript_media/en/ZS_F1_0021_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 04:12.11-04:13.55,
22,1,1,你从哪里来的? Where did you come from?,你从哪里来的? Where did you come from?,-0.3838,0.0321,261.584,263.047,transcript_media/en/ZS_F1_0022_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 04:21.58-04:23.05,
23,1,1,我从纽约来的。,我从纽约来的。,-0.2936,0.0390,271.244,273.330,transcript_media/en/ZS_F1_0023_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 04:31.24-04:33.33,
24,1,1,你多大了? How old are you?,你多大了? How old are you?,-0.2569,0.1064,281.303,282.832,transcript_media/en/ZS_F1_0024_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 04:41.30-04:42.83,
25,1,1,我二十岁。,我二十岁。,-0.3652,0.0361,290.683,292.492,transcript_media/en/ZS_F1_0025_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 04:50.68-04:52.49,
26,1,1,你做什么工作?,你做什么工作?,-0.1603,0.0906,300.258,302.163,transcript_media/en/ZS_F1_0026_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 05:00.26-05:02.16,
27,1,1,I am a teacher.,I am a teacher.,-0.5820,0.0127,309.730,311.187,transcript_media/en/ZS_F1_0027_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 05:09.73-05:11.19,
28,1,1,你最喜欢什么颜色? What color do you like the most?,你最喜欢什么颜色? What color do you like the most?,-0.3884,0.0170,319.723,321.477,transcript_media/en/ZS_F1_0028_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 05:19.72-05:21.48,
29,1,1,我最喜欢的颜色是蓝色。,我最喜欢的颜色是蓝色。,-0.2534,0.0196,330.559,333.282,transcript_media/en/ZS_F1_0029_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 05:30.56-05:33.28,
30,1,1,你对什么感兴趣?,你对什么感兴趣?,-0.3491,0.0508,342.615,344.737,transcript_media/en/ZS_F1_0030_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 05:42.61-05:44.74,
31,1,1,我对音乐感兴趣。,我对音乐感兴趣。,-0.2253,0.0376,353.286,355.559,transcript_media/en/ZS_F1_0031_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 05:53.29-05:55.56,
32,1,1,今天很热。,今天很热。,-0.3895,0.0240,363.845,365.486,transcript_media/en/ZS_F1_0032_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 06:03.85-06:05.49,
33,1,1,Today is not hot.,Today is not hot.,-0.3306,0.0712,373.659,375.266,transcript_media/en/ZS_F1_0033_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 06:13.66-06:15.27,
34,1,1,今天风很大。,今天风很大。,-0.4086,0.0792,382.993,384.825,transcript_media/en/ZS_F1_0034_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 06:22.99-06:24.83,
35,1,1,今天没刮风。,今天没刮风。,-0.5992,0.0376,393.473,394.996,transcript_media/en/ZS_F1_0035_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 06:33.47-06:35.00,
36,1,1,我的手很冷。,我的手很冷。,-0.3631,0.0281,403.709,405.449,transcript_media/en/ZS_F1_0036_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 06:43.71-06:45.45,
37,1,1,Brazil is a big country.,Brazil is a big country.,-0.3722,0.1545,414.513,417.105,transcript_media/en/ZS_F1_0037_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 06:54.51-06:57.10,
38,1,1,钻石不便宜,钻石不便宜,-0.4627,0.0282,425.954,427.508,transcript_media/en/ZS_F1_0038_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 07:05.95-07:07.51,
39,1,1,多伦多不在美国。,多伦多不在美国。,-0.4228,0.0287,437.008,439.136,transcript_media/en/ZS_F1_0039_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 07:17.01-07:19.14,
40,1,1,我累了。,我累了。,-0.6819,0.0580,447.464,448.784,transcript_media/en/ZS_F1_0040_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 07:27.46-07:28.78,
41,1,1,我不累。,我不累。,-0.4958,0.0961,456.306,458.045,transcript_media/en/ZS_F1_0041_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 07:36.31-07:38.05,
42,1,1,我饿了! I'm hungry!,我饿了! I'm hungry!,-0.6081,0.0379,465.525,466.951,transcript_media/en/ZS_F1_0042_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 07:45.52-07:46.95,
43,1,1,我不饿。,我不饿。,-0.5317,0.0379,474.377,475.875,transcript_media/en/ZS_F1_0043_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 07:54.38-07:55.88,
44,1,1,他是游泳健将。,他是游泳健将。,-0.3231,0.0460,483.954,485.909,transcript_media/en/ZS_F1_0044_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 08:03.95-08:05.91,
45,1,1,我对政治没兴趣。,我对政治没兴趣。,-0.3120,0.0494,495.174,497.394,transcript_media/en/ZS_F1_0045_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 08:15.17-08:17.39,
46,1,1,你叫什么名字?,你叫什么名字?,-0.3539,0.0604,505.578,507.047,transcript_media/en/ZS_F1_0046_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 08:25.58-08:27.05,
47,1,1,我叫阿曼达。,我叫阿曼达。,-0.2431,0.0763,515.287,517.262,transcript_media/en/ZS_F1_0047_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 08:35.29-08:37.26,
48,1,1,你结婚了吗?,你结婚了吗?,-0.2162,0.0868,525.031,526.685,transcript_media/en/ZS_F1_0048_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 08:45.03-08:46.68,
49,1,1,"没有,我单身。","没有,我单身。",-0.4203,0.0565,534.797,536.988,transcript_media/en/ZS_F1_0049_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 08:54.80-08:56.99,
50,1,1,你多大了?How old are you?,你多大了?How old are you?,-0.2620,0.1716,545.216,546.408,transcript_media/en/ZS_F1_0050_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 09:05.22-09:06.41,
51,1,51,Are you a student?,Are you a student?,-0.3450,0.0364,9.036,10.008,transcript_media/en/ZS_F1_0051_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 00:09.04-00:10.01,
52,1,51,"Yes, I am.","Yes, I am.",-0.2242,0.0079,18.965,20.006,transcript_media/en/ZS_F1_0052_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 00:18.96-00:20.01,
53,1,51,Am I late?,Am I late?,-0.2301,0.0886,29.285,29.978,transcript_media/en/ZS_F1_0053_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 00:29.29-00:29.98,
54,1,51,"No, you're on time.","No, you're on time.",-0.1721,0.0368,38.555,39.997,transcript_media/en/ZS_F1_0054_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 00:38.56-00:40.00,
55,1,51,Is your mother at home?,Is your mother at home?,-0.2836,0.0151,49.637,50.887,transcript_media/en/ZS_F1_0055_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 00:49.64-00:50.89,
56,1,51,"No, she's out.","No, she's out.",-0.1121,0.0020,60.086,61.181,transcript_media/en/ZS_F1_0056_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 01:00.09-01:01.18,
57,1,51,Are your parents at home?,Are your parents at home?,-0.3201,0.0190,70.320,71.629,transcript_media/en/ZS_F1_0057_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 01:10.32-01:11.63,
58,1,51,"No, they're out.","No, they're out.",-0.2167,0.0121,80.412,81.404,transcript_media/en/ZS_F1_0058_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 01:20.41-01:21.40,
59,1,51,Is it cold in your room?,Is it cold in your room?,-0.2268,0.0202,90.942,92.455,transcript_media/en/ZS_F1_0059_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 01:30.94-01:32.46,
60,1,51,"Yes, a little.","Yes, a little.",-0.3638,0.0134,101.143,102.192,transcript_media/en/ZS_F1_0060_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 01:41.14-01:42.19,
61,1,51,Your shoes are nice. Are they new?,Your shoes are nice. Are they new?,-0.2445,0.0092,111.146,113.196,transcript_media/en/ZS_F1_0061_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 01:51.15-01:53.20,
62,1,51,"Yes, they are.","Yes, they are.",-0.3157,0.0093,124.312,125.370,transcript_media/en/ZS_F1_0062_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 02:04.31-02:05.37,
63,1,51,Where's your mother? Is she at home?,Where's your mother? Is she at home?,-0.0932,0.0376,134.615,136.647,transcript_media/en/ZS_F1_0063_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 02:14.61-02:16.65,
64,1,51,Where are you from?,Where are you from?,-0.3926,0.0231,148.158,149.383,transcript_media/en/ZS_F1_0064_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 02:28.16-02:29.38,
65,1,51,I'm from Canada.,I'm from Canada.,-0.4292,0.0090,158.585,159.716,transcript_media/en/ZS_F1_0065_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 02:38.58-02:39.72,
66,1,51,What color is your car?,What color is your car?,-0.4692,0.0029,168.637,169.985,transcript_media/en/ZS_F1_0066_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 02:48.64-02:49.99,
67,1,51,It's red.,It's red.,-0.2508,0.0074,179.871,180.675,transcript_media/en/ZS_F1_0067_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 02:59.87-03:00.68,
68,1,51,How old is Hassan?,How old is Hassan?,-0.2899,0.0209,189.341,190.910,transcript_media/en/ZS_F1_0068_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 03:09.34-03:10.91,
69,1,51,He's 24.,He's 24.,-0.4381,0.0118,199.745,200.945,transcript_media/en/ZS_F1_0069_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 03:19.75-03:20.94,
70,1,51,How are your parents?,How are your parents?,-0.2311,0.0429,209.731,211.217,transcript_media/en/ZS_F1_0070_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 03:29.73-03:31.22,
71,1,51,They're doing fine.,They're doing fine.,-0.3643,0.0045,220.456,221.784,transcript_media/en/ZS_F1_0071_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 03:40.46-03:41.78,
72,1,51,These postcards are nice. How much are they?,These postcards are nice. How much are they?,-0.1130,0.0174,230.280,233.315,transcript_media/en/ZS_F1_0072_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 03:50.28-03:53.31,
73,1,51,They're a dollar. They're a buck. They're a pound. They're a euro.,They're a dollar. They're a buck. They're a pound. They're a euro.,-0.1743,0.0160,244.199,249.384,transcript_media/en/ZS_F1_0073_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 04:04.20-04:09.38,
74,1,51,This hotel isn't very good. Why is it so expensive?,This hotel isn't very good. Why is it so expensive?,-0.1523,0.0120,258.021,261.460,transcript_media/en/ZS_F1_0074_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 04:18.02-04:21.46,
75,1,51,What's your phone number?,What's your phone number?,-0.1866,0.0148,273.719,274.882,transcript_media/en/ZS_F1_0075_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 04:33.72-04:34.88,
76,1,51,Who's that man?,Who's that man?,-0.3323,0.0248,283.919,285.061,transcript_media/en/ZS_F1_0076_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 04:43.92-04:45.06,
77,1,51,He's the boss.,He's the boss.,-0.1163,0.0147,294.189,295.273,transcript_media/en/ZS_F1_0077_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 04:54.19-04:55.27,
78,1,51,Where's your friend?,Where's your friend?,-0.4395,0.0140,303.275,304.433,transcript_media/en/ZS_F1_0078_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 05:03.27-05:04.43,
79,1,51,She's in the bathroom.,She's in the bathroom.,-0.2396,0.0143,313.383,314.744,transcript_media/en/ZS_F1_0079_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 05:13.38-05:14.74,
80,1,51,How's your father?,How's your father?,-0.3708,0.0197,323.252,324.387,transcript_media/en/ZS_F1_0080_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 05:23.25-05:24.39,
81,1,51,He's doing great.,He's doing great.,-0.3835,0.0118,333.528,334.557,transcript_media/en/ZS_F1_0081_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 05:33.53-05:34.56,
82,1,51,Are you tired?,Are you tired?,-0.5000,0.0206,342.500,343.457,transcript_media/en/ZS_F1_0082_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 05:42.50-05:43.46,
83,1,51,"Yes, I am.","Yes, I am.",-0.3752,0.0038,351.848,352.889,transcript_media/en/ZS_F1_0083_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 05:51.85-05:52.89,
84,1,51,Are you hungry?,Are you hungry?,-0.4436,0.0364,362.728,363.678,transcript_media/en/ZS_F1_0084_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 06:02.73-06:03.68,
85,1,51,"No, but I'm thirsty.","No, but I'm thirsty.",-0.2023,0.0056,372.161,373.954,transcript_media/en/ZS_F1_0085_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 06:12.16-06:13.95,
86,1,51,Is your friend Chinese?,Is your friend Chinese?,-0.4053,0.0130,383.940,385.411,transcript_media/en/ZS_F1_0086_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 06:23.94-06:25.41,
87,1,51,"Yes, he is.","Yes, he is.",-0.3059,0.0250,395.595,396.863,transcript_media/en/ZS_F1_0087_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 06:35.59-06:36.86,
88,1,51,Are these your keys?,Are these your keys?,-0.1920,0.0221,406.986,408.353,transcript_media/en/ZS_F1_0088_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 06:46.99-06:48.35,
89,1,51,"Yes, they are.","Yes, they are.",-0.3118,0.0097,418.295,419.437,transcript_media/en/ZS_F1_0089_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 06:58.29-06:59.44,
90,1,51,That's my seat.,That's my seat.,-0.1354,0.0069,430.002,430.966,transcript_media/en/ZS_F1_0090_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 07:10.00-07:10.97,
91,1,51,"No, it isn't.","No, it isn't.",-0.2661,0.0201,439.876,440.816,transcript_media/en/ZS_F1_0091_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 07:19.88-07:20.82,
92,1,51,Where's the camera?,Where's the camera?,-0.4827,0.0073,450.396,451.499,transcript_media/en/ZS_F1_0092_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 07:30.40-07:31.50,
93,1,51,It's in your bag.,It's in your bag.,-0.3872,0.0101,460.337,461.514,transcript_media/en/ZS_F1_0093_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 07:40.34-07:41.51,
94,1,51,Is your car blue?,Is your car blue?,-0.4070,0.0129,470.008,471.313,transcript_media/en/ZS_F1_0094_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 07:50.01-07:51.31,
95,1,51,"No, it's black.","No, it's black.",-0.3032,0.0135,481.392,482.800,transcript_media/en/ZS_F1_0095_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 08:01.39-08:02.80,
96,1,51,Is Lisa from Toronto?,Is Lisa from Toronto?,-0.3240,0.0059,492.509,494.173,transcript_media/en/ZS_F1_0096_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 08:12.51-08:14.17,
97,1,51,"No, she's American.","No, she's American.",-0.3570,0.0077,504.625,506.165,transcript_media/en/ZS_F1_0097_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 08:24.62-08:26.16,
98,1,51,Am I late?,Am I late?,-0.2927,0.0208,516.020,516.723,transcript_media/en/ZS_F1_0098_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 08:36.02-08:36.72,
99,1,51,"Yes, you are.","Yes, you are.",-0.2849,0.0119,525.434,526.579,transcript_media/en/ZS_F1_0099_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 08:45.43-08:46.58,
100,1,51,Where's Layla from?,Where's Layla from?,-0.3383,0.0212,536.479,537.769,transcript_media/en/ZS_F1_0100_en.mp3,GLOSSIKA-ENZS-F1-GMS-0051A.mp3,F1-GMS-0051A 08:56.48-08:57.77,
101,1,101,She's from London.,She's from London.,-0.3379,0.0058,9.046,10.418,transcript_media/en/ZS_F1_0101_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 00:09.05-00:10.42,
102,1,101,What color is your bag?,What color is your bag?,-0.3444,0.0069,19.867,21.079,transcript_media/en/ZS_F1_0102_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 00:19.87-00:21.08,
103,1,101,It's black.,It's black.,-0.1596,0.0078,31.525,32.212,transcript_media/en/ZS_F1_0103_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 00:31.52-00:32.21,
104,1,101,Are you hungry?,Are you hungry?,-0.4333,0.0221,40.637,41.447,transcript_media/en/ZS_F1_0104_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 00:40.64-00:41.45,
105,1,101,"No, I'm not.","No, I'm not.",-0.3125,0.0220,50.081,50.949,transcript_media/en/ZS_F1_0105_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 00:50.08-00:50.95,
106,1,101,How's John?,How's John?,-0.4637,0.0302,59.190,60.182,transcript_media/en/ZS_F1_0106_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 00:59.19-01:00.18,
107,1,101,He's fine.,He's fine.,-0.2662,0.0096,69.646,70.634,transcript_media/en/ZS_F1_0107_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 01:09.65-01:10.63,
108,1,101,Who's that woman?,Who's that woman?,-0.1918,0.0034,79.508,80.626,transcript_media/en/ZS_F1_0108_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 01:19.51-01:20.63,
109,1,101,She's my sister.,She's my sister.,-0.3198,0.0047,89.821,91.081,transcript_media/en/ZS_F1_0109_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 01:29.82-01:31.08,
110,1,101,Is your mother at home?,Is your mother at home?,-0.3247,0.0108,100.584,101.815,transcript_media/en/ZS_F1_0110_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 01:40.58-01:41.82,
111,1,101,How are your parents?,How are your parents?,-0.3735,0.0108,111.538,112.954,transcript_media/en/ZS_F1_0111_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 01:51.54-01:52.95,
112,1,101,Is your job interesting?,Is your job interesting?,-0.1858,0.0142,123.359,124.829,transcript_media/en/ZS_F1_0112_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 02:03.36-02:04.83,
113,1,101,Are the stores open today?,Are the stores open today?,-0.2919,0.0105,134.575,136.188,transcript_media/en/ZS_F1_0113_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 02:14.58-02:16.19,
114,1,101,Where are you from?,Where are you from?,-0.4153,0.0606,146.323,147.477,transcript_media/en/ZS_F1_0114_en.mp3,GLOSSIKA-ENZS-F1-GMS-0101A.mp3,F1-GMS-0101A 02:26.32-02:27.48,
