video_id,title,url,categories,caption_source,caption_language,detail
gtxfh_VvcgE,Workshop 4 - Learning VSTEP Vocabulary via Mind Map Topic: Technology | VSTEP Workshop Made Easy ...,https://www.youtube.com/watch?v=gtxfh_VvcgE,Speaking|Writing,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=gtxfh_VvcgE! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
fCdWoPWfeRM,Workshop 3 - Phá đảo VSTEP Speaking Part 3 | Workshop VSTEP là dễ cùng Ms. Jess,https://www.youtube.com/watch?v=fCdWoPWfeRM,Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=fCdWoPWfeRM! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
Ic7jmnnM9dQ,Workshop 2 - Phá đảo VSTEP Writing Task 2 | Workshop VSTEP là dễ cùng Ms. Jess,https://www.youtube.com/watch?v=Ic7jmnnM9dQ,Writing,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=Ic7jmnnM9dQ! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
IiWLVNvIa24,Workshop 1 - Chinh phục đề Writing Task 1 VSTEP | Workshop VSTEP là dễ cùng Ms. Jess,https://www.youtube.com/watch?v=IiWLVNvIa24,Writing|Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=IiWLVNvIa24! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
C-XqOacOPU8,Giải đề VSTEP của Trường ĐH Thương Mại (thi 23-24/12/23) | Bởi Ms. Jess và VSTEP EASY,https://www.youtube.com/watch?v=C-XqOacOPU8,Writing,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=C-XqOacOPU8! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
TGqFUIlz68s,Giải đề Speaking và Writing VSTEP của Học viện An ninh (thi 10/6/23) | Bởi Ms. Jess và VSTEP EASY,https://www.youtube.com/watch?v=TGqFUIlz68s,Writing|Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=TGqFUIlz68s! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
FhWx5GoYu1s,Giải đề Speaking và Writing VSTEP của Trường ĐH Văn Lang (thi 16/5/23) | Bởi Ms. Jess và VSTEP EASY,https://www.youtube.com/watch?v=FhWx5GoYu1s,Writing|Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=FhWx5GoYu1s! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
qUFvL58DEMQ,VSTEP Speaking and Writing Exam Walkthrough: Hanoi University of Science and Technology (Exam Dat...,https://www.youtube.com/watch?v=qUFvL58DEMQ,Writing|Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=qUFvL58DEMQ! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
dqj81EwnmW0,Solutions to the Speaking and Writing sections of the VSTEP exam from Hanoi University (exam date...,https://www.youtube.com/watch?v=dqj81EwnmW0,Writing|Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=dqj81EwnmW0! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
q09BgreqYiQ,Giải đề Speaking và Writing VSTEP của Trường ĐH Hà Nội (thi 14/1/2023) | Bởi Ms. Jess và VSTEP EASY,https://www.youtube.com/watch?v=q09BgreqYiQ,Writing|Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=q09BgreqYiQ! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
q4Hnjvby_Lw,Giải đề Speaking và Writing VSTEP của Trường ĐH Sài Gòn (thi 24/9/2022) | Bởi Ms. Jess và VSTEP EASY,https://www.youtube.com/watch?v=q4Hnjvby_Lw,Writing|Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=q4Hnjvby_Lw! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
